,subject,eda,time_elapsed
0,13,4.0,0.0
1,13,0.0,0.25
2,13,0.153713,0.5
3,13,0.202389,0.75
4,13,0.206232,1.0
5,13,0.207513,1.25
6,13,0.206232,1.5
7,13,0.20367,1.75
8,13,0.201108,2.0
9,13,0.204951,2.25
10,13,0.202389,2.5
11,13,0.202389,2.75
12,13,0.198546,3.0
13,13,0.195985,3.25
14,13,0.193423,3.5
15,13,0.194704,3.75
16,13,0.194704,4.0
17,13,0.192142,4.25
18,13,0.18958,4.5
19,13,0.188299,4.75
20,13,0.192142,5.0
21,13,0.190861,5.25
22,13,0.18958,5.5
23,13,0.18958,5.75
24,13,0.187018,6.0
25,13,0.187018,6.25
26,13,0.188299,6.5
27,13,0.188299,6.75
28,13,0.188299,7.0
29,13,0.185737,7.25
30,13,0.185737,7.5
31,13,0.18958,7.75
32,13,0.18958,8.0
33,13,0.18958,8.25
34,13,0.185737,8.5
35,13,0.185737,8.75
36,13,0.187018,9.0
37,13,0.18958,9.25
38,13,0.18958,9.5
39,13,0.18958,9.75
40,13,0.188299,10.0
41,13,0.184456,10.25
42,13,0.185737,10.5
43,13,0.188299,10.75
44,13,0.188299,11.0
45,13,0.185737,11.25
46,13,0.183175,11.5
47,13,0.183175,11.75
48,13,0.185737,12.0
49,13,0.188299,12.25
50,13,0.188299,12.5
51,13,0.184456,12.75
52,13,0.184456,13.0
53,13,0.185737,13.25
54,13,0.187018,13.5
55,13,0.187018,13.75
56,13,0.187018,14.0
57,13,0.184456,14.25
58,13,0.183175,14.5
59,13,0.185737,14.75
60,13,0.185737,15.0
61,13,0.185737,15.25
62,13,0.184456,15.5
63,13,0.183175,15.75
64,13,0.181894,16.0
65,13,0.185737,16.25
66,13,0.185737,16.5
67,13,0.184456,16.75
68,13,0.181894,17.0
69,13,0.181894,17.25
70,13,0.183175,17.5
71,13,0.184456,17.75
72,13,0.184456,18.0
73,13,0.181894,18.25
74,13,0.181894,18.5
75,13,0.183175,18.75
76,13,0.184456,19.0
77,13,0.185737,19.25
78,13,0.184456,19.5
79,13,0.181894,19.75
80,13,0.183175,20.0
81,13,0.181894,20.25
82,13,0.187018,20.5
83,13,0.188299,20.75
84,13,0.187018,21.0
85,13,0.183175,21.25
86,13,0.183175,21.5
87,13,0.187018,21.75
88,13,0.187018,22.0
89,13,0.185737,22.25
90,13,0.183175,22.5
91,13,0.183175,22.75
92,13,0.184456,23.0
93,13,0.185737,23.25
94,13,0.187018,23.5
95,13,0.187018,23.75
96,13,0.184456,24.0
97,13,0.184456,24.25
98,13,0.185737,24.5
99,13,0.184456,24.75
100,13,0.187018,25.0
101,13,0.185737,25.25
102,13,0.181894,25.5
103,13,0.181894,25.75
104,13,0.184456,26.0
105,13,0.185737,26.25
106,13,0.185737,26.5
107,13,0.184456,26.75
108,13,0.183175,27.0
109,13,0.181894,27.25
110,13,0.181894,27.5
111,13,0.187018,27.75
112,13,0.185737,28.0
113,13,0.185737,28.25
114,13,0.183175,28.5
115,13,0.183175,28.75
116,13,0.187018,29.0
117,13,0.187018,29.25
118,13,0.187018,29.5
119,13,0.184456,29.75
120,13,0.183175,30.0
121,13,0.183175,30.25
122,13,0.184456,30.5
123,13,0.187018,30.75
124,13,0.185737,31.0
125,13,0.183175,31.25
126,13,0.183175,31.5
127,13,0.184456,31.75
128,13,0.185737,32.0
129,13,0.185737,32.25
130,13,0.181894,32.5
131,13,0.181894,32.75
132,13,0.181894,33.0
133,13,0.185737,33.25
134,13,0.184456,33.5
135,13,0.185737,33.75
136,13,0.184456,34.0
137,13,0.181894,34.25
138,13,0.180613,34.5
139,13,0.185737,34.75
140,13,0.185737,35.0
141,13,0.185737,35.25
142,13,0.181894,35.5
143,13,0.183175,35.75
144,13,0.184456,36.0
145,13,0.187018,36.25
146,13,0.187018,36.5
147,13,0.183175,36.75
148,13,0.184456,37.0
149,13,0.181894,37.25
150,13,0.185737,37.5
151,13,0.185737,37.75
152,13,0.187018,38.0
153,13,0.183175,38.25
154,13,0.181894,38.5
155,13,0.185737,38.75
156,13,0.185737,39.0
157,13,0.185737,39.25
158,13,0.183175,39.5
159,13,0.181894,39.75
160,13,0.180613,40.0
161,13,0.185737,40.25
162,13,0.185737,40.5
163,13,0.184456,40.75
164,13,0.181894,41.0
165,13,0.183175,41.25
166,13,0.184456,41.5
167,13,0.185737,41.75
168,13,0.184456,42.0
169,13,0.183175,42.25
170,13,0.181894,42.5
171,13,0.184456,42.75
172,13,0.185737,43.0
173,13,0.184456,43.25
174,13,0.181894,43.5
175,13,0.180613,43.75
176,13,0.180613,44.0
177,13,0.184456,44.25
178,13,0.184456,44.5
179,13,0.184456,44.75
180,13,0.197266,45.0
181,13,0.181894,45.25
182,13,0.184456,45.5
183,13,0.187018,45.75
184,13,0.185737,46.0
185,13,0.187018,46.25
186,13,0.183175,46.5
187,13,0.183175,46.75
188,13,0.185737,47.0
189,13,0.187018,47.25
190,13,0.188299,47.5
191,13,0.187018,47.75
192,13,0.183175,48.0
193,13,0.184456,48.25
194,13,0.185737,48.5
195,13,0.187018,48.75
196,13,0.185737,49.0
197,13,0.184456,49.25
198,13,0.183175,49.5
199,13,0.184456,49.75
200,13,0.183175,50.0
201,13,0.187018,50.25
202,13,0.187018,50.5
203,13,0.185737,50.75
204,13,0.183175,51.0
205,13,0.184456,51.25
206,13,0.187018,51.5
207,13,0.18958,51.75
208,13,0.184456,52.0
209,13,0.183175,52.25
210,13,0.181894,52.5
211,13,0.187018,52.75
212,13,0.187018,53.0
213,13,0.184456,53.25
214,13,0.183175,53.5
215,13,0.183175,53.75
216,13,0.187018,54.0
217,13,0.185737,54.25
218,13,0.187018,54.5
219,13,0.187018,54.75
220,13,0.183175,55.0
221,13,0.184456,55.25
222,13,0.183175,55.5
223,13,0.185737,55.75
224,13,0.187018,56.0
225,13,0.183175,56.25
226,13,0.183175,56.5
227,13,0.184456,56.75
228,13,0.184456,57.0
229,13,0.185737,57.25
230,13,0.187018,57.5
231,13,0.184456,57.75
232,13,0.181894,58.0
233,13,0.181894,58.25
234,13,0.184456,58.5
235,13,0.187018,58.75
236,13,0.185737,59.0
237,13,0.185737,59.25
238,13,0.183175,59.5
239,13,0.181894,59.75
240,13,0.183175,60.0
241,13,0.187018,60.25
242,13,0.187018,60.5
243,13,0.184456,60.75
244,13,0.181894,61.0
245,13,0.181894,61.25
246,13,0.183175,61.5
247,13,0.185737,61.75
248,13,0.185737,62.0
249,13,0.184456,62.25
250,13,0.183175,62.5
251,13,0.184456,62.75
252,13,0.185737,63.0
253,13,0.187018,63.25
254,13,0.185737,63.5
255,13,0.184456,63.75
256,13,0.185737,64.0
257,13,0.185737,64.25
258,13,0.181894,64.5
259,13,0.187018,64.75
260,13,0.185737,65.0
261,13,0.183175,65.25
262,13,0.183175,65.5
263,13,0.184456,65.75
264,13,0.184456,66.0
265,13,0.185737,66.25
266,13,0.181894,66.5
267,13,0.184456,66.75
268,13,0.198546,67.0
269,13,0.187018,67.25
270,13,0.187018,67.5
271,13,0.187018,67.75
272,13,0.181894,68.0
273,13,0.181894,68.25
274,13,0.184456,68.5
275,13,0.184456,68.75
276,13,0.185737,69.0
277,13,0.183175,69.25
278,13,0.181894,69.5
279,13,0.183175,69.75
280,13,0.185737,70.0
281,13,0.187018,70.25
282,13,0.185737,70.5
283,13,0.185737,70.75
284,13,0.183175,71.0
285,13,0.185737,71.25
286,13,0.185737,71.5
287,13,0.185737,71.75
288,13,0.185737,72.0
289,13,0.183175,72.25
290,13,0.183175,72.5
291,13,0.184456,72.75
292,13,0.187018,73.0
293,13,0.187018,73.25
294,13,0.187018,73.5
295,13,0.185737,73.75
296,13,0.184456,74.0
297,13,0.183175,74.25
298,13,0.185737,74.5
299,13,0.187018,74.75
300,13,0.185737,75.0
301,13,0.185737,75.25
302,13,0.183175,75.5
303,13,0.184456,75.75
304,13,0.184456,76.0
305,13,0.187018,76.25
306,13,0.187018,76.5
307,13,0.185737,76.75
308,13,0.183175,77.0
309,13,0.184456,77.25
310,13,0.184456,77.5
311,13,0.187018,77.75
312,13,0.187018,78.0
313,13,0.183175,78.25
314,13,0.181894,78.5
315,13,0.184456,78.75
316,13,0.187018,79.0
317,13,0.187018,79.25
318,13,0.185737,79.5
319,13,0.184456,79.75
320,13,0.183175,80.0
321,13,0.181894,80.25
322,13,0.184456,80.5
323,13,0.187018,80.75
324,13,0.184456,81.0
325,13,0.185737,81.25
326,13,0.184456,81.5
327,13,0.183175,81.75
328,13,0.188299,82.0
329,13,0.187018,82.25
330,13,0.188299,82.5
331,13,0.184456,82.75
332,13,0.183175,83.0
333,13,0.184456,83.25
334,13,0.185737,83.5
335,13,0.188299,83.75
336,13,0.188299,84.0
337,13,0.18958,84.25
338,13,0.183175,84.5
339,13,0.183175,84.75
340,13,0.187018,85.0
341,13,0.187018,85.25
342,13,0.185737,85.5
343,13,0.183175,85.75
344,13,0.184456,86.0
345,13,0.198546,86.25
346,13,0.185737,86.5
347,13,0.187018,86.75
348,13,0.188299,87.0
349,13,0.184456,87.25
350,13,0.185737,87.5
351,13,0.184456,87.75
352,13,0.188299,88.0
353,13,0.188299,88.25
354,13,0.188299,88.5
355,13,0.187018,88.75
356,13,0.187018,89.0
357,13,0.185737,89.25
358,13,0.187018,89.5
359,13,0.190861,89.75
360,13,0.187018,90.0
361,13,0.184456,90.25
362,13,0.184456,90.5
363,13,0.183175,90.75
364,13,0.187018,91.0
365,13,0.188299,91.25
366,13,0.188299,91.5
367,13,0.201108,91.75
368,13,0.184456,92.0
369,13,0.184456,92.25
370,13,0.187018,92.5
371,13,0.188299,92.75
372,13,0.188299,93.0
373,13,0.184456,93.25
374,13,0.184456,93.5
375,13,0.184456,93.75
376,13,0.187018,94.0
377,13,0.188299,94.25
378,13,0.188299,94.5
379,13,0.187018,94.75
380,13,0.184456,95.0
381,13,0.184456,95.25
382,13,0.183175,95.5
383,13,0.185737,95.75
384,13,0.187018,96.0
385,13,0.188299,96.25
386,13,0.184456,96.5
387,13,0.185737,96.75
388,13,0.183175,97.0
389,13,0.187018,97.25
390,13,0.187018,97.5
391,13,0.187018,97.75
392,13,0.185737,98.0
393,13,0.185737,98.25
394,13,0.183175,98.5
395,13,0.188299,98.75
396,13,0.188299,99.0
397,13,0.187018,99.25
398,13,0.184456,99.5
399,13,0.184456,99.75
400,13,0.201108,100.0
401,13,0.18958,100.25
402,13,0.18958,100.5
403,13,0.18958,100.75
404,13,0.184456,101.0
405,13,0.184456,101.25
406,13,0.184456,101.5
407,13,0.187018,101.75
408,13,0.188299,102.0
409,13,0.187018,102.25
410,13,0.187018,102.5
411,13,0.184456,102.75
412,13,0.184456,103.0
413,13,0.187018,103.25
414,13,0.18958,103.5
415,13,0.188299,103.75
416,13,0.188299,104.0
417,13,0.184456,104.25
418,13,0.184456,104.5
419,13,0.187018,104.75
420,13,0.187018,105.0
421,13,0.185737,105.25
422,13,0.184456,105.5
423,13,0.184456,105.75
424,13,0.183175,106.0
425,13,0.185737,106.25
426,13,0.185737,106.5
427,13,0.187018,106.75
428,13,0.184456,107.0
429,13,0.184456,107.25
430,13,0.188299,107.5
431,13,0.185737,107.75
432,13,0.187018,108.0
433,13,0.187018,108.25
434,13,0.183175,108.5
435,13,0.183175,108.75
436,13,0.185737,109.0
437,13,0.187018,109.25
438,13,0.185737,109.5
439,13,0.185737,109.75
440,13,0.183175,110.0
441,13,0.183175,110.25
442,13,0.181894,110.5
443,13,0.187018,110.75
444,13,0.187018,111.0
445,13,0.185737,111.25
446,13,0.183175,111.5
447,13,0.183175,111.75
448,13,0.183175,112.0
449,13,0.188299,112.25
450,13,0.190861,112.5
451,13,0.18958,112.75
452,13,0.187018,113.0
453,13,0.188299,113.25
454,13,0.187018,113.5
455,13,0.206232,113.75
456,13,0.185737,114.0
457,13,0.188299,114.25
458,13,0.185737,114.5
459,13,0.188299,114.75
460,13,0.188299,115.0
461,13,0.18958,115.25
462,13,0.18958,115.5
463,13,0.187018,115.75
464,13,0.185737,116.0
465,13,0.185737,116.25
466,13,0.185737,116.5
467,13,0.18958,116.75
468,13,0.18958,117.0
469,13,0.18958,117.25
470,13,0.185737,117.5
471,13,0.187018,117.75
472,13,0.188299,118.0
473,13,0.188299,118.25
474,13,0.18958,118.5
475,13,0.188299,118.75
476,13,0.184456,119.0
477,13,0.184456,119.25
478,13,0.185737,119.5
479,13,0.188299,119.75
480,13,0.188299,120.0
481,13,0.187018,120.25
482,13,0.185737,120.5
483,13,0.184456,120.75
484,13,0.188299,121.0
485,13,0.18958,121.25
486,13,0.18958,121.5
487,13,0.18958,121.75
488,13,0.201108,122.0
489,13,0.184456,122.25
