,subject,bvp,time_elapsed
0,11,0.29,0.0
1,11,0.25,0.015625
2,11,0.18,0.03125
3,11,0.14,0.046875
4,11,0.15,0.0625
5,11,0.25,0.078125
6,11,0.41,0.09375
7,11,0.59,0.109375
8,11,0.7,0.125
9,11,0.7,0.140625
10,11,0.59,0.15625
11,11,0.43,0.171875
12,11,0.33,0.1875
13,11,0.39,0.203125
14,11,0.67,0.21875
15,11,1.11,0.234375
16,11,1.57,0.25
17,11,1.85,0.265625
18,11,1.83,0.28125
19,11,1.5,0.296875
20,11,1.01,0.3125
21,11,0.63,0.328125
22,11,0.64,0.34375
23,11,1.15,0.359375
24,11,2.05,0.375
25,11,3.01,0.390625
26,11,3.61,0.40625
27,11,3.57,0.421875
28,11,2.85,0.4375
29,11,1.77,0.453125
30,11,0.87,0.46875
31,11,0.65,0.484375
32,11,1.37,0.5
33,11,2.84,0.515625
34,11,4.48,0.53125
35,11,5.56,0.546875
36,11,5.57,0.5625
37,11,4.48,0.578125
38,11,2.72,0.59375
39,11,1.12,0.609375
40,11,0.32,0.625
41,11,0.59,0.640625
42,11,1.58,0.65625
43,11,2.5,0.671875
44,11,2.45,0.6875
45,11,0.68,0.703125
46,11,-3.24,0.71875
47,11,-9.54,0.734375
48,11,-17.97,0.75
49,11,-27.66,0.765625
50,11,-36.66,0.78125
51,11,-42.38,0.796875
52,11,-42.26,0.8125
53,11,-35.13,0.828125
54,11,-21.99,0.84375
55,11,-5.95,0.859375
56,11,8.86,0.875
57,11,19.02,0.890625
58,11,23.15,0.90625
59,11,22.19,0.921875
60,11,18.43,0.9375
61,11,14.18,0.953125
62,11,10.71,0.96875
63,11,8.07,0.984375
64,11,5.68,1.0
65,11,3.19,1.015625
66,11,0.9,1.03125
67,11,-0.45,1.046875
68,11,-0.25,1.0625
69,11,1.5,1.078125
70,11,4.16,1.09375
71,11,6.69,1.109375
72,11,8.1,1.125
73,11,7.92,1.140625
74,11,6.34,1.15625
75,11,4.1,1.171875
76,11,2.1,1.1875
77,11,1.05,1.203125
78,11,1.14,1.21875
79,11,1.96,1.234375
80,11,2.75,1.25
81,11,2.71,1.265625
82,11,1.51,1.28125
83,11,-0.63,1.296875
84,11,-3.01,1.3125
85,11,-4.79,1.328125
86,11,-5.46,1.34375
87,11,-5.06,1.359375
88,11,-4.1,1.375
89,11,-3.36,1.390625
90,11,-3.44,1.40625
91,11,-4.48,1.421875
92,11,-6.18,1.4375
93,11,-7.9,1.453125
94,11,-9.08,1.46875
95,11,-9.47,1.484375
96,11,-9.22,1.5
97,11,-8.83,1.515625
98,11,-8.85,1.53125
99,11,-9.62,1.546875
100,11,-11.17,1.5625
101,11,-13.23,1.578125
102,11,-15.33,1.59375
103,11,-17.09,1.609375
104,11,-18.27,1.625
105,11,-18.91,1.640625
106,11,-19.26,1.65625
107,11,-19.76,1.671875
108,11,-20.84,1.6875
109,11,-22.9,1.703125
110,11,-26.07,1.71875
111,11,-30.12,1.734375
112,11,-34.4,1.75
113,11,-37.54,1.765625
114,11,-38.09,1.78125
115,11,-34.85,1.796875
116,11,-27.3,1.8125
117,11,-15.87,1.828125
118,11,-1.92,1.84375
119,11,12.69,1.859375
120,11,26.15,1.875
121,11,37.13,1.890625
122,11,45.06,1.90625
123,11,49.95,1.921875
124,11,52.22,1.9375
125,11,52.36,1.953125
126,11,50.78,1.96875
127,11,47.78,1.984375
128,11,43.66,2.0
129,11,38.81,2.015625
130,11,33.76,2.03125
131,11,29.08,2.046875
132,11,25.22,2.0625
133,11,22.42,2.078125
134,11,20.63,2.09375
135,11,19.64,2.109375
136,11,19.18,2.125
137,11,19.06,2.140625
138,11,19.23,2.15625
139,11,19.66,2.171875
140,11,20.29,2.1875
141,11,20.97,2.203125
142,11,21.45,2.21875
143,11,21.51,2.234375
144,11,20.97,2.25
145,11,19.78,2.265625
146,11,18.02,2.28125
147,11,15.84,2.296875
148,11,13.46,2.3125
149,11,11.1,2.328125
150,11,8.96,2.34375
