,subject,temp,time_elapsed
0,11,31.31,0.0
1,11,31.31,0.25
2,11,31.31,0.5
3,11,31.31,0.75
4,11,31.31,1.0
5,11,31.27,1.25
6,11,31.27,1.5
7,11,31.27,1.75
8,11,31.27,2.0
9,11,31.29,2.25
10,11,31.29,2.5
11,11,31.29,2.75
12,11,31.29,3.0
13,11,31.29,3.25
14,11,31.29,3.5
15,11,31.29,3.75
16,11,31.29,4.0
17,11,31.29,4.25
18,11,31.29,4.5
19,11,31.29,4.75
20,11,31.29,5.0
21,11,31.31,5.25
22,11,31.31,5.5
23,11,31.31,5.75
24,11,31.31,6.0
25,11,31.27,6.25
26,11,31.27,6.5
27,11,31.27,6.75
28,11,31.27,7.0
29,11,31.27,7.25
30,11,31.27,7.5
31,11,31.27,7.75
32,11,31.27,8.0
33,11,31.27,8.25
34,11,31.27,8.5
35,11,31.27,8.75
36,11,31.27,9.0
37,11,31.27,9.25
38,11,31.27,9.5
39,11,31.27,9.75
40,11,31.27,10.0
41,11,31.27,10.25
42,11,31.27,10.5
43,11,31.27,10.75
44,11,31.27,11.0
45,11,31.27,11.25
46,11,31.27,11.5
47,11,31.27,11.75
48,11,31.27,12.0
49,11,31.25,12.25
50,11,31.25,12.5
51,11,31.25,12.75
52,11,31.25,13.0
53,11,31.27,13.25
54,11,31.27,13.5
55,11,31.27,13.75
56,11,31.27,14.0
57,11,31.25,14.25
58,11,31.25,14.5
59,11,31.25,14.75
60,11,31.25,15.0
61,11,31.23,15.25
62,11,31.23,15.5
63,11,31.23,15.75
64,11,31.23,16.0
65,11,31.27,16.25
66,11,31.27,16.5
67,11,31.27,16.75
68,11,31.27,17.0
69,11,31.25,17.25
70,11,31.25,17.5
71,11,31.25,17.75
72,11,31.25,18.0
73,11,31.27,18.25
74,11,31.27,18.5
75,11,31.27,18.75
76,11,31.27,19.0
77,11,31.25,19.25
78,11,31.25,19.5
79,11,31.25,19.75
80,11,31.25,20.0
81,11,31.25,20.25
82,11,31.25,20.5
83,11,31.25,20.75
84,11,31.25,21.0
85,11,31.25,21.25
86,11,31.25,21.5
87,11,31.25,21.75
88,11,31.25,22.0
89,11,31.23,22.25
90,11,31.23,22.5
91,11,31.23,22.75
92,11,31.23,23.0
93,11,31.25,23.25
94,11,31.25,23.5
95,11,31.25,23.75
96,11,31.25,24.0
97,11,31.23,24.25
98,11,31.23,24.5
99,11,31.23,24.75
100,11,31.23,25.0
101,11,31.27,25.25
102,11,31.27,25.5
103,11,31.27,25.75
104,11,31.27,26.0
105,11,31.25,26.25
106,11,31.25,26.5
107,11,31.25,26.75
108,11,31.25,27.0
109,11,31.27,27.25
110,11,31.27,27.5
111,11,31.27,27.75
112,11,31.27,28.0
113,11,31.27,28.25
114,11,31.27,28.5
115,11,31.27,28.75
116,11,31.27,29.0
117,11,31.25,29.25
118,11,31.25,29.5
119,11,31.25,29.75
120,11,31.25,30.0
121,11,31.25,30.25
122,11,31.25,30.5
123,11,31.25,30.75
124,11,31.25,31.0
125,11,31.25,31.25
126,11,31.25,31.5
127,11,31.25,31.75
128,11,31.25,32.0
129,11,31.29,32.25
130,11,31.29,32.5
131,11,31.29,32.75
132,11,31.29,33.0
133,11,31.27,33.25
134,11,31.27,33.5
135,11,31.27,33.75
136,11,31.27,34.0
137,11,31.27,34.25
138,11,31.27,34.5
139,11,31.27,34.75
140,11,31.27,35.0
141,11,31.27,35.25
142,11,31.27,35.5
143,11,31.27,35.75
144,11,31.27,36.0
145,11,31.27,36.25
146,11,31.27,36.5
147,11,31.27,36.75
148,11,31.27,37.0
149,11,31.29,37.25
150,11,31.29,37.5
151,11,31.29,37.75
152,11,31.29,38.0
153,11,31.27,38.25
154,11,31.27,38.5
155,11,31.27,38.75
156,11,31.27,39.0
157,11,31.27,39.25
158,11,31.27,39.5
159,11,31.27,39.75
160,11,31.27,40.0
161,11,31.29,40.25
162,11,31.29,40.5
163,11,31.29,40.75
164,11,31.29,41.0
165,11,31.27,41.25
166,11,31.27,41.5
167,11,31.27,41.75
168,11,31.27,42.0
